lang,topic,commits_count,contrib_count,issue_count,stars_count
Java,android,153,2,11,265
Java,android,19,0,0,43
Java,android,319,11,35,2
Python,machine-learning,193,2,1,35
Python,api,29,3,8,239
Python,api,4458,1252,3,182
Python,machine-learning,12,2,1,251
Python,api,163,2,19,93
JavaScript,api,2032,72,7,2
Java,api,88,3,2,2
Java,security,322,0,9,576
C++,android,442,7,301,1
JavaScript,android,777,45,165,4
Python,machine-learning,292,12,246,6
Java,android,108,4,7,68
C++,security,5,0,4,285
JavaScript,android,18,0,0,11
JavaScript,api,177,34,41,1
JavaScript,database,81,0,2,70
Python,api,1801,29,14,673
Python,api,66,2,0,4
Java,android,340,5,12,1
Java,database,4276,35,21,527
Java,database,13848,136,294,3
Python,api,393,30,0,840
JavaScript,android,2046,0,0,0
Java,android,39,2,10,1
JavaScript,api,56,2,0,77
JavaScript,api,25,0,2,80
C++,android,2434,199,608,13
Java,machine-learning,633,0,1,182
Python,api,948,72,35,187
Python,machine-learning,40,0,0,5
Python,api,527,17,16,112
Python,api,21,2,4,69
Java,android,157,5,34,2
Python,api,564,15,10,566
Python,machine-learning,2415,110,161,8
JavaScript,api,30,2,11,208
Python,api,83,0,0,412
JavaScript,security,11,2,0,1
Java,android,176,18,39,6
Python,machine-learning,62,0,0,169
Python,api,832,65,48,2
Python,machine-learning,58,5,1,951
Python,api,86,4,2,383
Java,android,56,2,3,560
JavaScript,api,173,3,0,160
C++,android,524,18,1,3
JavaScript,android,12,0,0,1
JavaScript,api,81,2,2,89
JavaScript,api,81,2,4,364
Java,android,570,53,111,1
JavaScript,api,2942,217,218,4
Java,android,106,2,0,7
Java,android,334,20,43,1
JavaScript,database,221,19,3,679
JavaScript,api,283,5,10,220
JavaScript,api,25,3,2,31
Python,machine-learning,50,2,8,417
JavaScript,android,150,0,6,777
Python,api,217,2,0,18
Java,api,543,23,64,267
Python,security,176,23,9,1
Python,api,992,30,33,351
Java,security,360,6,0,39
Python,machine-learning,7,0,0,16
JavaScript,security,146,6,9,361
Java,android,498,6,37,1
Java,api,907,51,74,2
JavaScript,database,137,3,0,335
Python,api,42,2,0,36
Java,android,12,2,1,271
Python,database,31,0,0,260
C++,android,973,26,5,75
Java,android,244,2,3,89
JavaScript,android,29,3,12,47
C++,database,3698,128,522,16
JavaScript,api,11,0,1,142
Python,machine-learning,598,8,7,16
Java,android,129,4,4,944
Python,security,23,0,0,2
JavaScript,api,123,2,3,21
Python,api,1113,3,1,537
Java,android,624,18,33,256
Python,machine-learning,4268,25,8,1
Java,android,39,0,0,104
Python,machine-learning,15,0,0,1
Java,android,58,4,11,690
Java,android,10,0,0,3
Python,machine-learning,29,0,2,1
JavaScript,api,536,17,4,3
Python,machine-learning,488,12,16,715
JavaScript,database,26,3,0,54
Java,machine-learning,143,2,1,16
JavaScript,api,9,2,0,15
JavaScript,api,591,3,0,144
Python,machine-learning,2364,102,52,4
C++,android,75,0,1,63
JavaScript,api,675,3,0,490
Python,android,3488,34,155,6
C++,database,705,26,10,819
Java,api,69,0,7,176
JavaScript,database,5,0,0,6
Java,android,115,0,101,2
JavaScript,android,38,2,0,2
Python,machine-learning,98,4,4,32
JavaScript,machine-learning,179,12,4,1
Python,machine-learning,3260,69,8,3
Python,machine-learning,126,2,1,34
Python,machine-learning,22,0,0,56
JavaScript,security,232,0,4,1
Python,api,65,0,2,59
Java,android,908,0,5,4
Python,api,25,0,0,11
Python,machine-learning,2241,38,61,5
Java,android,37,0,3,110
Java,api,145,4,0,20
JavaScript,api,54,7,4,559
Python,machine-learning,195,0,0,106
Java,android,102,0,5,192
Python,database,1892,20,19,613
Java,database,653,7,10,406
Java,android,134,3,14,58
Python,machine-learning,20,0,1,87
Java,android,22,0,2,376
Python,machine-learning,173,5,1,5
Python,database,110,2,10,115
Python,api,478,5,7,103
Java,database,1,0,0,3
Python,api,4239,135,217,20
Java,android,44,0,3,80
C++,android,166,4,3,92
Python,machine-learning,66,11,2,514
JavaScript,api,38,2,0,10
JavaScript,security,89,2,0,138
Java,database,414,4,3,16
JavaScript,android,9024,25,14,1
Java,android,4,2,0,13
JavaScript,api,266,25,1,66
Java,android,95,3,1,17
Python,api,3052,74,373,3
Java,api,928,4,3,137
Python,machine-learning,17,2,9,528
Python,database,60,3,5,111
Java,android,63,8,6,1
Python,machine-learning,21,3,4,477
Python,api,101,5,108,167
JavaScript,api,83,2,1,48
Java,android,21,0,1,142
Java,api,261,4,1,37
Java,android,58,2,4,1
Java,android,1278,3,9,1
Java,android,31,0,8,48
Python,machine-learning,1356,158,125,1
Python,machine-learning,824,6,5,1
Java,android,3939,176,1,24
Python,database,41,0,0,17
Java,android,44,3,1,37
C++,database,151,0,18,264
Python,api,20,2,0,1
JavaScript,api,44,0,5,5
JavaScript,api,85,2,0,74
Java,api,2094,115,433,5
Java,api,66,6,1,96
Python,api,432,17,48,209
JavaScript,api,782,82,22,804
Java,android,6,0,3,23
Python,database,390,8,1,142
JavaScript,api,208,4,4,194
Java,android,141,4,4,17
JavaScript,android,319,2,0,3
JavaScript,api,17,2,3,305
Java,android,129,9,0,3
Java,machine-learning,18160,35,0,362
JavaScript,database,522,2,0,653
